epoch,avg_loss,accuracy
0,4.595917701721191,0.013107416879795396
1,4.572296142578125,0.02563539002557545
2,4.497798442840576,0.04054108056265985
3,4.4228315353393555,0.04909287084398977
4,4.3252739906311035,0.053348785166240406
5,4.18634033203125,0.055746483375959076
6,4.047567367553711,0.07045236572890026
7,3.8819828033447266,0.08681665601023018
8,3.6772820949554443,0.09468909846547315
9,3.44256329536438,0.10657768542199489
10,3.196826696395874,0.1223025895140665
11,2.9475255012512207,0.14120444373401533
12,2.695394277572632,0.15299312659846548
13,2.486933708190918,0.159846547314578
14,2.3896446228027344,0.1656809462915601
15,2.1726348400115967,0.16394261508951408
16,1.9581772089004517,0.16456202046035806
17,1.8466713428497314,0.17211476982097187
18,1.8246816396713257,0.1800671355498721
19,1.692355751991272,0.1802269820971867
20,1.5086212158203125,0.17902813299232737
21,1.4567331075668335,0.17353340792838876
22,1.3643739223480225,0.17163523017902813
23,1.3713027238845825,0.17623081841432225
24,1.351055383682251,0.16973705242966752
25,1.32295560836792,0.17535166240409208
26,1.3913936614990234,0.18799952046035806
27,1.290100336074829,0.185701726342711
28,1.3598055839538574,0.17433264066496162
29,1.2707414627075195,0.1797674232736573
